date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:55:16	2800/2800	---M--	200	added ('OK')	image/jpeg	etag:%22D2DD367120060766C782B67CEF646250%22	https://img.lazcdn.com/g/p/d2dd367120060766c782b67cef646250.jpg_120x120q80.jpg	C:/Dato'%20Ustaz%20kazim%20elias/archive/img.lazcdn.com/g/p/d2dd367120060766c782b67cef646250.jpg_120x120q80.jpg	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:55:16	2678/2678	---M--	200	added ('OK')	image/jpeg	etag:%22A696B3C10DDC7F344975A44EFEFA2059%22	https://img.lazcdn.com/g/p/a696b3c10ddc7f344975a44efefa2059.jpg_120x120q80.jpg	C:/Dato'%20Ustaz%20kazim%20elias/archive/img.lazcdn.com/g/p/a696b3c10ddc7f344975a44efefa2059.jpg_120x120q80.jpg	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:55:17	2802/2802	---M--	200	added ('OK')	image/jpeg	etag:%224B0C97D1C5E5B244B896F4766F28371F%22	https://img.lazcdn.com/g/p/4b0c97d1c5e5b244b896f4766f28371f.jpg_120x120q80.jpg	C:/Dato'%20Ustaz%20kazim%20elias/archive/img.lazcdn.com/g/p/4b0c97d1c5e5b244b896f4766f28371f.jpg_120x120q80.jpg	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:55:17	5551/5551	---M--	200	added ('OK')	image/jpeg	etag:%22B10A0153D9DCF8603F775A516F39E7AA%22	https://img.lazcdn.com/g/p/b10a0153d9dcf8603f775a516f39e7aa.jpg_120x120q80.jpg	C:/Dato'%20Ustaz%20kazim%20elias/archive/img.lazcdn.com/g/p/b10a0153d9dcf8603f775a516f39e7aa.jpg_120x120q80.jpg	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:55:17	6218/6218	---M--	200	added ('OK')	image/png	etag:%22B30688FB9DEAA524DC982FC1E5CECF4E%22	http://img.lazcdn.com/g/tps/tfs/TB16hROVgHqK1RjSZFPXXcwapXa-205-150.png	C:/Dato'%20Ustaz%20kazim%20elias/archive/img.lazcdn.com/g/tps/tfs/TB16hROVgHqK1RjSZFPXXcwapXa-205-150.png	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:55:18	1019/1019	---M--	200	added ('OK')	image/png	etag:%2253DDF8C1FEF582C407C803256DBEFF27%22	http://img.lazcdn.com/g/tps/tfs/TB1SBLEVCzqK1RjSZFpXXakSXXa-106-78.png	C:/Dato'%20Ustaz%20kazim%20elias/archive/img.lazcdn.com/g/tps/tfs/TB1SBLEVCzqK1RjSZFpXXakSXXa-106-78.png	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:55:18	1264/1264	---M--	200	added ('OK')	image/png	etag:%224D9C83EBA6A67130D672DAA7DB83D98D%22	http://img.lazcdn.com/g/tps/tfs/TB1pDYroCf2gK0jSZFPXXXsopXa-118-86.png	C:/Dato'%20Ustaz%20kazim%20elias/archive/img.lazcdn.com/g/tps/tfs/TB1pDYroCf2gK0jSZFPXXXsopXa-118-86.png	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:55:18	1354/1354	---M--	200	added ('OK')	image/png	etag:%2268BF180ED82868DACB351BB8B59E4416%22	http://img.lazcdn.com/g/tps/tfs/TB1RZTroAL0gK0jSZFAXXcA9pXa-106-78.png	C:/Dato'%20Ustaz%20kazim%20elias/archive/img.lazcdn.com/g/tps/tfs/TB1RZTroAL0gK0jSZFAXXcA9pXa-106-78.png	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:55:18	1692/1692	---M--	200	added ('OK')	image/png	etag:%2253060DC313EC3C60D9A0F361CE6D9DE0%22	http://img.lazcdn.com/g/tps/tfs/TB1bW_qoET1gK0jSZFrXXcNCXXa-106-78.png	C:/Dato'%20Ustaz%20kazim%20elias/archive/img.lazcdn.com/g/tps/tfs/TB1bW_qoET1gK0jSZFrXXcNCXXa-106-78.png	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
02:55:19	1924/1924	---M--	200	added ('OK')	image/png	etag:%2260CCA8C5B9891128054202D9298444A2%22	http://img.lazcdn.com/g/tps/tfs/TB18efpopY7gK0jSZKzXXaikpXa-106-78.png	C:/Dato'%20Ustaz%20kazim%20elias/archive/img.lazcdn.com/g/tps/tfs/TB18efpopY7gK0jSZKzXXaikpXa-106-78.png	(from https://h5.lazada.com.my/products/karya-bestari-tak-faham-sudah-by-datuk-ustaz-kazim-elias-2023-buku-motivasi-agama-buku-ustaz-kazim-elias-i3466145927.html)
